Timestamp,ID,Day,Height,Weight,Steps,Calories,light_sleep,deep_sleep,rem_sleep
03/01/2022 20:14:22,ydun27JYqN,20220103-20:14:25,1.78,83.00,3830.00,1836.83,17940.00,2520.00,0.00
04/01/2022 14:00:13,WjTSJGdBQj,20220104-14:00:11,1.80,150.00,1472.00,2396.97,0.00,0.00,0.00
04/01/2022 14:05:52,XoyogQMtou,20220104-14:04:19,1.65,79.00,6721.00,1593.23,14400.00,2760.00,1260.00
04/01/2022 19:00:54,ydun27JYqN,20220104-19:00:57,1.78,83.00,2990.00,1812.07,21660.00,2700.00,0.00
04/01/2022 19:03:58,WPooa9cRhe,20220104-19:03:56,1.63,73.00,7810.00,2199.48,16860.00,5460.00,3360.00
05/01/2022 14:00:41,WjTSJGdBQj,20220105-14:00:39,1.80,150.00,822.00,2436.15,18840.00,0.00,0.00
05/01/2022 19:00:25,WPooa9cRhe,20220105-19:00:22,1.63,73.00,3105.00,1589.70,14520.00,5400.00,4260.00
05/01/2022 19:01:41,ydun27JYqN,20220105-19:01:44,1.78,83.00,3884.00,1901.52,20820.00,3600.00,0.00
05/01/2022 19:13:05,4KIVcPBHLi,20220105-19:13:03,1.77,101.00,0.00,1888.23,0.00,0.00,0.00
06/01/2022 14:00:09,IzZzhqcNgb,20220106-14:00:07,1.82,89.00,9373.00,2344.09,14640.00,1860.00,5700.00
06/01/2022 19:00:08,ydun27JYqN,20220106-19:00:10,1.78,83.00,2257.00,1747.01,20100.00,2820.00,0.00
07/01/2022 07:50:40,4KIVcPBHLi,20220107-07:50:38,1.77,101.00,0.00,1888.23,0.00,0.00,0.00
07/01/2022 14:06:47,WjTSJGdBQj,20220107-14:06:44,1.80,150.00,1234.00,2396.97,0.00,0.00,0.00
07/01/2022 14:08:49,IzZzhqcNgb,20220107-14:08:48,1.82,89.00,5030.00,1799.48,14700.00,2520.00,3960.00
07/01/2022 15:16:38,vCTkloMaa0,20220102-11:59:59,1.53,62.00,0.00,1348.23,0.00,0.00,0.00
07/01/2022 15:25:26,WjTSJGdBQj,20220107-11:59:59,1.80,150.00,1234.00,2396.97,0.00,0.00,0.00
07/01/2022 15:25:27,WjTSJGdBQj,20220104-11:59:59,1.80,150.00,1316.00,2396.97,0.00,0.00,0.00
07/01/2022 15:25:36,WjTSJGdBQj,20211231-11:59:59,1.80,150.00,2703.00,2396.97,0.00,0.00,0.00
07/01/2022 15:25:36,WjTSJGdBQj,20220104-11:59:59,1.80,150.00,1316.00,2396.97,0.00,0.00,0.00
07/01/2022 15:25:37,WjTSJGdBQj,20220107-11:59:59,1.80,150.00,1234.00,2396.97,0.00,0.00,0.00
07/01/2022 16:45:04,WPooa9cRhe,20220107-16:45:02,1.63,73.00,3558.00,1809.99,17640.00,7440.00,5160.00
07/01/2022 18:27:13,4KIVcPBHLi,20220107-18:27:11,1.77,101.00,0.00,1888.23,0.00,0.00,0.00
07/01/2022 18:27:19,4KIVcPBHLi,20211228-11:59:59,1.77,101.00,0.00,1888.23,0.00,0.00,0.00
07/01/2022 18:27:20,4KIVcPBHLi,20220107-11:59:59,1.77,101.00,0.00,1888.23,0.00,0.00,0.00
07/01/2022 18:59:59,ydun27JYqN,20220107-19:00:01,1.78,83.00,5725.00,1953.81,23880.00,1200.00,0.00
07/01/2022 19:27:57,WPooa9cRhe,20220107-19:27:55,1.63,73.00,3829.00,1827.83,17640.00,7440.00,5160.00
07/01/2022 21:49:29,D39iyp2dlm,20211223-17:59:59,1.55,60.00,2464.00,1340.73,0.00,0.00,0.00
07/01/2022 21:49:30,D39iyp2dlm,20211224-17:59:59,1.55,60.00,1033.00,1340.73,0.00,0.00,0.00
07/01/2022 22:17:46,D39iyp2dlm,20211223-17:59:59,1.55,60.00,2464.00,1340.73,0.00,0.00,0.00
07/01/2022 22:17:54,D39iyp2dlm,20211225-17:59:59,1.55,60.00,0.00,1340.73,0.00,0.00,0.00
07/01/2022 22:17:54,D39iyp2dlm,20211224-17:59:59,1.55,60.00,1033.00,1340.73,0.00,0.00,0.00
07/01/2022 22:17:55,D39iyp2dlm,20211223-17:59:59,1.55,60.00,2464.00,1340.73,0.00,0.00,0.00
08/01/2022 08:20:30,4KIVcPBHLi,20211228-11:59:59,1.77,101.00,0.00,1888.23,0.00,0.00,0.00
08/01/2022 08:20:31,4KIVcPBHLi,20220107-11:59:59,1.77,101.00,0.00,1888.23,0.00,0.00,0.00
08/01/2022 14:00:02,IzZzhqcNgb,20220108-14:00:01,1.82,89.00,10480.00,1892.21,0.00,0.00,0.00
08/01/2022 14:00:40,WjTSJGdBQj,20220108-14:00:38,1.80,150.00,436.00,2396.97,13140.00,0.00,0.00
08/01/2022 14:01:20,4KIVcPBHLi,20220108-14:01:18,1.77,101.00,7746.00,1994.70,18840.00,3480.00,0.00
08/01/2022 14:21:29,WjTSJGdBQj,20211231-17:59:59,1.80,150.00,1691.00,2396.97,0.00,0.00,0.00
08/01/2022 14:21:29,WjTSJGdBQj,20220104-17:59:59,1.80,150.00,197.00,2396.97,0.00,0.00,0.00
08/01/2022 14:21:30,WjTSJGdBQj,20220107-17:59:59,1.80,150.00,873.00,2396.97,12000.00,0.00,0.00
08/01/2022 14:22:19,WjTSJGdBQj,20220108-14:22:17,1.80,150.00,471.00,2396.97,13140.00,0.00,0.00
08/01/2022 14:47:30,WjTSJGdBQj,20211231-17:59:59,1.80,150.00,1691.00,2396.97,0.00,0.00,0.00
08/01/2022 14:47:31,WjTSJGdBQj,20220104-17:59:59,1.80,150.00,197.00,2396.97,0.00,0.00,0.00
08/01/2022 19:00:01,vCTkloMaa0,20220108-19:00:03,1.53,62.00,5194.00,1515.95,13500.00,10020.00,0.00
08/01/2022 19:00:03,ydun27JYqN,20220108-19:00:05,1.78,83.00,5160.00,1829.75,24360.00,6480.00,0.00
08/01/2022 19:40:24,D39iyp2dlm,20220108-19:33:56,1.55,60.00,5605.00,1471.32,15960.00,6120.00,5880.00
08/01/2022 20:30:55,QNCD3NFtji,20220108-20:30:58,1.71,58.00,0.00,1420.73,0.00,0.00,0.00
08/01/2022 23:06:15,QNCD3NFtji,20220108-17:59:59,1.71,58.00,0.00,1420.73,0.00,0.00,0.00
09/01/2022 00:50:28,D39iyp2dlm,20220109-00:44:01,1.55,60.00,815.00,1581.72,0.00,0.00,0.00
09/01/2022 14:00:38,4KIVcPBHLi,20220109-14:00:37,1.77,101.00,2629.00,2056.05,23760.00,4740.00,0.00
09/01/2022 14:04:12,WjTSJGdBQj,20211231-17:59:59,1.80,150.00,1691.00,2396.97,0.00,0.00,0.00
09/01/2022 14:04:12,WjTSJGdBQj,20220104-17:59:59,1.80,150.00,197.00,2396.97,0.00,0.00,0.00
09/01/2022 14:04:18,WjTSJGdBQj,20220109-14:04:16,1.80,150.00,643.00,2428.31,18660.00,660.00,0.00
09/01/2022 14:07:31,D39iyp2dlm,20220109-14:01:05,1.55,60.00,7674.00,1713.69,19140.00,3720.00,3960.00
09/01/2022 14:07:44,D39iyp2dlm,20211225-17:59:59,1.55,60.00,0.00,1340.73,0.00,0.00,0.00
09/01/2022 14:07:44,D39iyp2dlm,20220109-17:59:59,1.55,60.00,7674.00,1713.69,19140.00,3720.00,3960.00
09/01/2022 14:07:44,D39iyp2dlm,20211224-17:59:59,1.55,60.00,1033.00,1340.73,0.00,0.00,0.00
09/01/2022 14:07:45,D39iyp2dlm,20211223-17:59:59,1.55,60.00,2464.00,1340.73,0.00,0.00,0.00
09/01/2022 14:10:50,D39iyp2dlm,20211225-17:59:59,1.55,60.00,0.00,1340.73,0.00,0.00,0.00
09/01/2022 14:10:53,D39iyp2dlm,20211224-17:59:59,1.55,60.00,1033.00,1340.73,0.00,0.00,0.00
09/01/2022 14:10:54,D39iyp2dlm,20211223-17:59:59,1.55,60.00,2464.00,1340.73,0.00,0.00,0.00
09/01/2022 19:00:38,WPooa9cRhe,20220109-19:00:36,1.63,73.00,5536.00,1794.47,17160.00,4320.00,5520.00
09/01/2022 19:03:59,vCTkloMaa0,20220109-19:04:02,1.53,62.00,3987.00,1470.84,18780.00,2220.00,0.00
09/01/2022 19:11:38,D39iyp2dlm,20220109-19:05:11,1.55,60.00,12998.00,1920.90,19140.00,3720.00,3960.00
09/01/2022 19:36:33,ydun27JYqN,20220109-19:36:36,1.78,83.00,3299.00,1826.89,23880.00,2640.00,0.00
09/01/2022 22:54:21,QNCD3NFtji,20220109-22:54:18,1.71,58.00,1995.00,1490.59,16200.00,4680.00,1500.00
10/01/2022 14:00:29,4KIVcPBHLi,20220110-14:00:28,1.77,101.00,2292.00,2020.45,20580.00,4980.00,0.00
10/01/2022 19:00:59,WPooa9cRhe,20220110-19:00:57,1.63,73.00,2317.00,1542.65,19020.00,4920.00,8220.00
10/01/2022 19:21:40,D39iyp2dlm,20220110-19:15:12,1.55,60.00,10683.00,1923.13,16980.00,2580.00,3120.00
10/01/2022 22:10:53,QNCD3NFtji,20220110-22:10:56,1.71,58.00,1496.00,1431.53,21120.00,7260.00,4500.00
11/01/2022 08:33:08,QNCD3NFtji,20220108-17:59:59,1.71,58.00,624.00,1420.73,0.00,0.00,0.00
11/01/2022 09:19:20,D39iyp2dlm,20211225-17:59:59,1.55,60.00,0.00,1340.73,0.00,0.00,0.00
11/01/2022 09:19:24,D39iyp2dlm,20211224-17:59:59,1.55,60.00,1033.00,1340.73,0.00,0.00,0.00
11/01/2022 09:19:27,D39iyp2dlm,20211223-17:59:59,1.55,60.00,2464.00,1340.73,0.00,0.00,0.00
11/01/2022 09:19:36,D39iyp2dlm,20220111-09:13:09,1.55,60.00,4627.00,1431.15,12540.00,1620.00,4320.00
11/01/2022 14:00:04,4KIVcPBHLi,20220111-14:00:01,1.77,101.00,1228.00,1913.65,15840.00,6840.00,0.00
11/01/2022 19:00:22,WPooa9cRhe,20220111-19:00:15,1.63,73.00,3846.00,1690.41,16980.00,5880.00,6060.00
11/01/2022 19:12:09,WjTSJGdBQj,20220111-19:12:06,1.80,150.00,182.00,2396.97,0.00,0.00,0.00
11/01/2022 19:13:44,D39iyp2dlm,20220111-19:07:15,1.55,60.00,10519.00,1679.27,12540.00,1620.00,4320.00
11/01/2022 20:30:32,QNCD3NFtji,20220111-20:30:29,1.71,58.00,1249.00,1452.97,16200.00,6720.00,5520.00
12/01/2022 10:07:27,IzZzhqcNgb,20220112-10:07:27,1.82,89.00,0.00,1799.48,0.00,0.00,0.00
12/01/2022 10:07:44,IzZzhqcNgb,20220108-11:59:59,1.82,89.00,10480.00,1892.21,0.00,0.00,0.00
12/01/2022 10:07:45,IzZzhqcNgb,20220112-11:59:59,1.82,89.00,0.00,1799.48,0.00,0.00,0.00
12/01/2022 19:00:29,WjTSJGdBQj,20220112-19:00:27,1.80,150.00,231.00,2396.97,13020.00,780.00,0.00
12/01/2022 19:00:42,WPooa9cRhe,20220112-19:00:40,1.63,73.00,8658.00,1763.56,16500.00,6000.00,5820.00
12/01/2022 19:04:21,QNCD3NFtji,20220112-19:04:25,1.71,58.00,754.00,1420.73,15060.00,5040.00,6600.00
12/01/2022 19:09:40,D39iyp2dlm,20220112-19:03:12,1.55,60.00,9480.00,1637.56,17940.00,3420.00,3300.00
13/01/2022 00:12:06,4KIVcPBHLi,20220113-00:12:05,1.77,101.00,0.00,1888.23,0.00,0.00,0.00
13/01/2022 14:08:08,D39iyp2dlm,20211225-17:59:59,1.55,60.00,0.00,1340.73,0.00,0.00,0.00
13/01/2022 14:08:08,D39iyp2dlm,20211224-17:59:59,1.55,60.00,1033.00,1340.73,0.00,0.00,0.00
13/01/2022 14:08:09,D39iyp2dlm,20211223-17:59:59,1.55,60.00,2464.00,1340.73,0.00,0.00,0.00
13/01/2022 16:32:07,4KIVcPBHLi,20220113-16:32:06,1.77,101.00,0.00,1888.23,0.00,0.00,0.00
13/01/2022 19:05:48,QNCD3NFtji,20220113-19:05:47,1.71,58.00,0.00,1420.73,0.00,0.00,0.00
13/01/2022 19:06:34,D39iyp2dlm,20220113-19:00:07,1.55,60.00,7668.00,1573.39,17280.00,5160.00,3660.00
14/01/2022 19:00:03,QNCD3NFtji,20220114-19:00:05,1.71,58.00,1519.00,1471.78,9180.00,2820.00,3600.00
14/01/2022 19:15:06,D39iyp2dlm,20220114-19:08:30,1.55,60.00,8590.00,1524.35,11400.00,2520.00,3060.00
15/01/2022 19:04:00,vCTkloMaa0,20220115-19:04:02,1.53,62.00,7464.00,1607.56,6300.00,2100.00,0.00
15/01/2022 19:08:53,D39iyp2dlm,20220115-19:02:17,1.55,60.00,6286.00,1561.92,20580.00,1080.00,4080.00
15/01/2022 19:15:19,QNCD3NFtji,20220115-19:15:18,1.71,58.00,4124.00,1450.34,14880.00,6060.00,5820.00
17/01/2022 14:32:41,ydun27JYqN,20220117-14:32:43,1.78,83.00,7421.00,1929.29,20760.00,7140.00,0.00
17/01/2022 15:06:01,ydun27JYqN,20220117-15:06:05,1.78,83.00,7421.00,1929.29,20760.00,7140.00,0.00
17/01/2022 15:29:09,vCTkloMaa0,20220117-15:29:13,1.53,62.00,2564.00,1426.37,19560.00,3000.00,0.00
17/01/2022 16:04:33,ydun27JYqN,20220117-16:04:36,1.78,83.00,7421.00,1929.29,20760.00,7140.00,0.00
17/01/2022 16:04:54,ydun27JYqN,20220117-16:04:58,1.78,83.00,7421.00,1929.29,20760.00,7140.00,0.00
17/01/2022 16:59:45,ydun27JYqN,20220117-16:59:45,1.78,83.00,7421.00,1929.29,20760.00,7140.00,0.00
17/01/2022 17:38:18,WPooa9cRhe,20220117-17:38:15,1.63,73.00,9612.00,2163.26,18480.00,5220.00,1860.00
17/01/2022 17:46:57,WPooa9cRhe,20220117-17:46:55,1.63,73.00,9612.00,2163.26,18480.00,5220.00,1860.00
17/01/2022 19:00:06,WPooa9cRhe,20220117-19:00:03,1.63,73.00,9612.00,2091.91,18480.00,5220.00,1860.00
17/01/2022 19:08:00,ydun27JYqN,20220117-19:08:03,1.78,83.00,7421.00,1957.75,20760.00,7140.00,0.00
18/01/2022 15:28:56,ydun27JYqN,20220118-15:28:59,1.78,83.00,3311.00,1893.43,19860.00,2040.00,0.00
18/01/2022 16:31:14,ydun27JYqN,20220118-16:31:18,1.78,83.00,3311.00,1893.43,19860.00,2040.00,0.00
18/01/2022 19:00:14,WPooa9cRhe,20220118-19:00:11,1.63,73.00,8485.00,1904.25,19080.00,6000.00,3660.00
19/01/2022 10:04:26,ydun27JYqN,20220119-10:04:29,1.78,84.40,5328.00,1817.88,25380.00,2460.00,0.00
19/01/2022 16:27:24,ydun27JYqN,20211223-17:59:59,1.78,84.40,1243.00,1714.48,24660.00,780.00,0.00
19/01/2022 16:44:01,ydun27JYqN,20220119-16:44:04,1.78,84.40,6508.00,1896.63,25380.00,2460.00,0.00
19/01/2022 16:46:56,ydun27JYqN,20220119-16:47:00,1.78,84.40,6508.00,1896.63,25380.00,2460.00,0.00
19/01/2022 16:47:32,ydun27JYqN,20220119-17:59:59,1.78,84.40,6508.00,1896.63,25380.00,2460.00,0.00
19/01/2022 18:53:48,WPooa9cRhe,20220119-17:59:59,1.63,73.00,4595.00,1889.86,16620.00,4980.00,3960.00
19/01/2022 19:26:09,ydun27JYqN,20220118-17:59:59,1.78,84.40,3573.00,1856.99,19860.00,2040.00,0.00
19/01/2022 19:35:02,ydun27JYqN,20220119-19:35:05,1.78,84.40,7520.00,1971.24,25380.00,2460.00,0.00
19/01/2022 19:35:02,ydun27JYqN,20220119-19:35:06,1.78,84.40,7520.00,1971.24,25380.00,2460.00,0.00
19/01/2022 19:35:04,ydun27JYqN,20211224-17:59:59,1.78,84.40,3054.00,1714.48,23580.00,7080.00,0.00
19/01/2022 19:37:58,ydun27JYqN,20220119-19:38:02,1.78,84.40,7520.00,1971.24,25380.00,2460.00,0.00
19/01/2022 19:40:01,ydun27JYqN,20220119-19:40:04,1.78,84.40,7520.00,1971.24,25380.00,2460.00,0.00
19/01/2022 19:40:02,ydun27JYqN,20220119-19:40:05,1.78,84.40,7520.00,1971.24,25380.00,2460.00,0.00
19/01/2022 19:40:03,ydun27JYqN,20220119-19:40:06,1.78,84.40,7520.00,1971.24,25380.00,2460.00,0.00
19/01/2022 19:40:04,ydun27JYqN,20211225-17:59:59,1.78,84.40,3532.00,1771.40,18000.00,4920.00,0.00
19/01/2022 19:42:55,WPooa9cRhe,20220119-19:42:53,1.63,73.00,4595.00,1889.86,16620.00,4980.00,3960.00
19/01/2022 19:44:59,ydun27JYqN,20220119-19:45:03,1.78,84.40,7520.00,1971.24,25380.00,2460.00,0.00
